Altium Designer Pick and Place Locations
D:\guoyiren\valveboard\hardware\Project Outputs for ValveBoard - Copy\Pick Place for kunkun.csv

========================================================================================================================
File Design Information:

Date:       19/05/22
Time:       21:19
Revision:   7bbb1832588408d18627d794ede911d916108972
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","frequency","precision","Supplier 1","Supplier Part Number 1","value","voltage"
"SH12","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","183.5109","21.1865","270","","","","","",""
"SH11","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","165.5850","21.1015","270","","","","","",""
"SH10","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","183.5109","26.9792","90","","","","","",""
"SH9","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","179.2623","31.5835","180","","","","","",""
"SH8","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","170.2244","31.5835","180","","","","","",""
"SH7","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","165.5850","27.2793","90","","","","","",""
"SH6","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","275.6064","40.9005","270","","","","","",""
"SH5","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","266.0586","19.2133","180","","","","","",""
"SH4","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","275.6064","31.5372","90","","","","","",""
"SH3","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","267.3071","46.8830","180","","","","","",""
"SH2","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","258.0508","39.3639","90","","","","","",""
"SH1","SHIELDSUPPORT","TopLayer","SHIELDSUPPORT1","258.0508","25.0549","90","","","","","",""
"R24","R","TopLayer","R1812","281.7130","43.6569","180","","1%","","","750R",""
"POSHOLE12","POSHOLE","TopLayer","POSHOLE-3.2","253.9402","4.9678","90","","","","","",""
"POSHOLE10","POSHOLE","TopLayer","POSHOLE-3.2","194.3314","4.9678","90","","","","","",""
"POSHOLE9","POSHOLE","TopLayer","POSHOLE-3.2","105.9815","4.9678","90","","","","","",""
"POSHOLE8","POSHOLE","TopLayer","POSHOLE-3.2","71.7524","4.9678","90","","","","","",""
"POSHOLE7","POSHOLE","TopLayer","POSHOLE-3.2","37.5234","4.9678","90","","","","","",""
"YTX5","YTX","TopLayer","YTX","167.6994","21.3230","0","","","","","",""
"YTX3","YTX","TopLayer","YTX","167.6994","22.9984","0","","","","","",""
"YTX2","YTX","TopLayer","YTX","167.6994","24.6737","0","","","","","",""
"C1","C-NOMO","TopLayer","C0402","266.4098","33.1738","0","","5%","","","100nF","25V"
"C2","C-NOMO","TopLayer","C0805","262.6118","41.5004","90","","5%","","","47uF","25V"
"C3","C-NOMO","TopLayer","C0402","261.1962","41.7356","90","","5%","","","100nF","25V"
