Designator,Footprint,Layer,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Rotation
C1,C0402,TopLayer,167.2590mm,90.8050mm,167.2590mm,90.8050mm,167.2590mm,90.4050mm,90
C10,C0402,BottomLayer,172.2870mm,96.2570mm,172.2870mm,96.2570mm,172.2870mm,95.8570mm,90
C11,C0402,BottomLayer,179.5870mm,102.5570mm,179.5870mm,102.5570mm,179.9870mm,102.5570mm,180
C12,C0402,BottomLayer,179.5870mm,107.5570mm,179.5870mm,107.5570mm,179.9870mm,107.5570mm,180
C13,C0402,BottomLayer,158.4870mm,112.0570mm,158.4870mm,112.0570mm,158.0870mm,112.0570mm,0
C14,C0402,BottomLayer,179.5870mm,111.5570mm,179.5870mm,111.5570mm,179.9870mm,111.5570mm,180
C15_PostIsolation1_Isolation1,C0603,TopLayer,279.5825mm,139.0141mm,279.5825mm,139.0141mm,279.5825mm,139.7140mm,270
C15_PostIsolation10_Isolation10,C0603,TopLayer,82.9724mm,139.0140mm,82.9724mm,139.0140mm,82.9724mm,139.7140mm,270
C15_PostIsolation11_Isolation11,C0603,TopLayer,61.1268mm,139.0141mm,61.1268mm,139.0141mm,61.1268mm,139.7141mm,270
C15_PostIsolation12_Isolation12,C0603,TopLayer,39.2813mm,139.0141mm,39.2813mm,139.0141mm,39.2813mm,139.7141mm,270
C15_PostIsolation2_Isolation2,C0603,TopLayer,257.7353mm,139.0145mm,257.7353mm,139.0145mm,257.7353mm,139.7145mm,270
C15_PostIsolation3_Isolation3,C0603,TopLayer,235.8898mm,139.0145mm,235.8898mm,139.0145mm,235.8898mm,139.7145mm,270
C15_PostIsolation4_Isolation4,C0603,TopLayer,214.0456mm,139.0254mm,214.0456mm,139.0254mm,214.0456mm,139.7254mm,270
C15_PostIsolation5_Isolation5,C0603,TopLayer,192.2001mm,139.0141mm,192.2001mm,139.0141mm,192.2001mm,139.7140mm,270
C15_PostIsolation6_Isolation6,C0603,TopLayer,170.3546mm,139.0141mm,170.3546mm,139.0141mm,170.3546mm,139.7140mm,270
C15_PostIsolation7_Isolation7,C0603,TopLayer,148.5090mm,139.0141mm,148.5090mm,139.0141mm,148.5090mm,139.7140mm,270
C15_PostIsolation8_Isolation8,C0603,TopLayer,126.6635mm,139.0141mm,126.6635mm,139.0141mm,126.6635mm,139.7140mm,270
C15_PostIsolation9_Isolation9,C0603,TopLayer,104.8179mm,139.0140mm,104.8179mm,139.0140mm,104.8179mm,139.7140mm,270
C16_PostIsolation1_Isolation1,C0603,TopLayer,282.1225mm,139.0141mm,282.1225mm,139.0141mm,282.1225mm,139.7140mm,270
C16_PostIsolation10_Isolation10,C0603,TopLayer,85.5124mm,139.0140mm,85.5124mm,139.0140mm,85.5124mm,139.7140mm,270
C16_PostIsolation11_Isolation11,C0603,TopLayer,63.6668mm,139.0141mm,63.6668mm,139.0141mm,63.6668mm,139.7141mm,270
C16_PostIsolation12_Isolation12,C0603,TopLayer,41.8213mm,139.0141mm,41.8213mm,139.0141mm,41.8213mm,139.7141mm,270
C16_PostIsolation2_Isolation2,C0603,TopLayer,260.2753mm,139.0145mm,260.2753mm,139.0145mm,260.2753mm,139.7145mm,270
